,algorithm_name,avg_run_time,comparison_operator,n,repetitions,test_fun,timeouts
0,RLS,69.5,gt,25,10,OneMax,0
1,RLS,95.3,ge,25,10,OneMax,0
2,RLS,235.6,gt,25,10,LeadingOnes,0
3,RLS,307.8,ge,25,10,LeadingOnes,0
4,RLS,inf,gt,25,10,Jump(3),10
5,RLS,4558.8,ge,25,10,Jump(3),0
6,RLS,inf,gt,25,10,RoyalRoads(5),10
7,RLS,119.9,ge,25,10,RoyalRoads(5),0
8,RLS,83.1,gt,25,10,BinVal,0
9,RLS,91.8,ge,25,10,BinVal,0
10,(1+1)-EA,181.6,gt,25,10,OneMax,0
11,(1+1)-EA,184.3,ge,25,10,OneMax,0
12,(1+1)-EA,592.6,gt,25,10,LeadingOnes,0
13,(1+1)-EA,570.3,ge,25,10,LeadingOnes,0
14,(1+1)-EA,54108.2,gt,25,10,Jump(3),0
15,(1+1)-EA,3518.7,ge,25,10,Jump(3),0
16,(1+1)-EA,17702.555555555555,gt,25,10,RoyalRoads(5),1
17,(1+1)-EA,152.0,ge,25,10,RoyalRoads(5),0
18,(1+1)-EA,187.8,gt,25,10,BinVal,0
19,(1+1)-EA,238.1,ge,25,10,BinVal,0
20,(1+2)-EA,150.0,gt,25,10,OneMax,0
21,(1+2)-EA,149.8,ge,25,10,OneMax,0
22,(1+2)-EA,518.2,gt,25,10,LeadingOnes,0
23,(1+2)-EA,637.2,ge,25,10,LeadingOnes,0
24,(1+2)-EA,37464.2,gt,25,10,Jump(3),0
25,(1+2)-EA,3811.2,ge,25,10,Jump(3),0
26,(1+2)-EA,3502.6666666666665,gt,25,10,RoyalRoads(5),1
27,(1+2)-EA,163.6,ge,25,10,RoyalRoads(5),0
28,(1+2)-EA,200.2,gt,25,10,BinVal,0
29,(1+2)-EA,178.8,ge,25,10,BinVal,0
30,(1+5)-EA,255.0,gt,25,10,OneMax,0
31,(1+5)-EA,211.5,ge,25,10,OneMax,0
32,(1+5)-EA,587.0,gt,25,10,LeadingOnes,0
33,(1+5)-EA,430.0,ge,25,10,LeadingOnes,0
34,(1+5)-EA,26745.5,gt,25,10,Jump(3),0
35,(1+5)-EA,3050.5,ge,25,10,Jump(3),0
36,(1+5)-EA,2960.5,gt,25,10,RoyalRoads(5),0
37,(1+5)-EA,152.0,ge,25,10,RoyalRoads(5),0
38,(1+5)-EA,215.0,gt,25,10,BinVal,0
39,(1+5)-EA,204.5,ge,25,10,BinVal,0
40,(1+10)-EA,198.0,gt,25,10,OneMax,0
41,(1+10)-EA,249.0,ge,25,10,OneMax,0
42,(1+10)-EA,584.0,gt,25,10,LeadingOnes,0
43,(1+10)-EA,673.0,ge,25,10,LeadingOnes,0
44,(1+10)-EA,63602.0,gt,25,10,Jump(3),0
45,(1+10)-EA,3146.0,ge,25,10,Jump(3),0
